id,description
1,"Classic fit cotton polo shirt with available in white, sizes S to XXL, available in green."
2,"Leather car seat covers with available in black, available in grey, available in tan."
3,"Car dashboard camera with 1080p HD, compact size, night vision."
4,"Adjustable weight bench with supports flat positions, supports incline, supports decline."
5,"Folding exercise bike with available in grey, tracks distance, built-in LCD display."
6,"Compact jump starter with 1000A peak current, emergency roadside assistance, charges phones and tablets."
7,"Car dashboard camera with 1080p HD, night vision, available in black."
8,"Classic fit cotton polo shirt with casual wear, sizes S to XXL, available in green."
9,"Leather car seat covers with universal fit, available in black, available in tan."
10,"Car dashboard camera with compact size, available in black, loop recording."
11,"Universal phone mount with for car dashboard, black, adjustable arm."
12,"Men’s chino pants with available in khaki, available in black, waist sizes 32 to 42."
13,"Compact jump starter with 1000A peak current, emergency roadside assistance, charges phones and tablets."
14,"Multi-function pull-up bar with fits standard doors, chin-ups, for doorway installation."
15,"Classic fit cotton polo shirt with available in white, casual wear, available in green."
16,"Kettlebell set with full-body exercises, ergonomic grip, available in grey."
17,"Adjustable weight bench with supports flat positions, supports decline, durable steel frame."
18,"Compact jump starter with charges phones and tablets, emergency roadside assistance, 1000A peak current."
19,"Multi-function pull-up bar with fits standard doors, leg raises, chin-ups."
20,"Performance fleece hoodie with outdoor activities, available in blue, sizes S to XXL."
21,"Kettlebell set with available in grey, full-body exercises, set includes 10, 20, 30 lb."
22,"Adjustable dumbbell set with multiple weight settings, available in red, 5 to 50 lbs."
23,"Heavy-duty car floor mats with all weather protection, available in black, available in grey."
24,"Compact home treadmill with multiple workout programs, black, foldable design."
25,"Yoga mat with 6mm thick, available in purple, available in black."
26,"Adjustable dumbbell set with available in black, 5 to 50 lbs, compact storage."
27,"Advanced GPS navigation system with pre-loaded with US maps, 5-inch touchscreen, real-time traffic updates."
28,"Adjustable weight bench with durable steel frame, for home gym setup, supports incline."
29,"Universal phone mount with black, compatible with smartphones, for car dashboard."
30,"Universal phone mount with black, for car dashboard, adjustable arm."
31,"Lightweight windbreaker jacket with full zipper closure, available in grey, sizes S to XL."
32,"Portable tire inflator with inflates up to 150 PSI, built-in digital gauge, small and lightweight."
33,"Kettlebell set with available in grey, ergonomic grip, full-body exercises."
34,"Bluetooth car stereo with fits most vehicles, USB port, AUX input."
35,"Short-sleeve button-up shirt with available in sizes M to XL, breathable, lightweight."
36,"Leather car seat covers with universal fit, available in black, available in grey."
37,"Advanced GPS navigation system with real-time traffic updates, 5-inch touchscreen, pre-loaded with US maps."
38,"Lightweight windbreaker jacket with sizes S to XL, full zipper closure, available in olive green."
39,"Classic fit cotton polo shirt with casual wear, sizes S to XXL, available in white."
40,"Folding exercise bike with built-in LCD display, tracks time, tracks distance."
41,"Compact home treadmill with multiple workout programs, 10 mph top speed, black."
42,"Waterproof hiking jacket with adjustable hood, available in red, windproof design."
43,"Performance fleece hoodie with sizes S to XXL, available in grey, available in red."
44,"Resistance bands with handles with varying resistance levels, set of 5, lightweight."
45,"Compact jump starter with 1000A peak current, emergency roadside assistance, charges phones and tablets."
46,"Leather car seat covers with available in grey, universal fit, available in black."
47,"Kettlebell set with set includes 10, 20, 30 lb, full-body exercises, available in grey."
48,"Waterproof hiking jacket with available in black, adjustable hood, windproof design."
49,"Foam roller with high-density foam, 18-inch length, available in black."
50,"Universal phone mount with adjustable arm, for car dashboard, black."
51,"Leather car seat covers with available in black, universal fit, available in grey."
52,"Portable tire inflator with built-in digital gauge, inflates up to 150 PSI, small and lightweight."
53,"Adjustable weight bench with supports incline, supports decline, for home gym setup."
54,"Men’s chino pants with available in khaki, wrinkle-resistant finish, waist sizes 32 to 42."
55,"Performance fleece hoodie with outdoor activities, available in blue, sizes S to XXL."
56,"Folding exercise bike with available in grey, available in black, tracks time."
57,"Classic fit cotton polo shirt with sizes S to XXL, casual wear, available in navy."
58,"Folding exercise bike with built-in LCD display, available in grey, available in black."
59,"Leather car seat covers with available in black, universal fit, available in grey."
60,"Compact home treadmill with 10 mph top speed, black, multiple workout programs."
61,"High-performance car battery with compatible with SUVs, compatible with sedans, extended life."
62,"Lightweight windbreaker jacket with full zipper closure, available in grey, available in olive green."
63,"Hand grip strengthener with adjustable resistance, for improving forearm muscles, 20 to 90 lbs."
64,"Advanced GPS navigation system with 5-inch touchscreen, real-time traffic updates, pre-loaded with US maps."
65,"Classic fit cotton polo shirt with available in navy, available in green, available in white."
66,"Foam roller with available in blue, for muscle recovery, pain relief."
67,"Multi-function pull-up bar with for doorway installation, allows for pull-ups, chin-ups."
68,"Formal dress shirt with regular fit, available in white, available in light blue."
69,"Slim-fit jeans with dark wash, stretch fabric, available in waist sizes 30 to 40."
70,"Men’s chino pants with waist sizes 32 to 42, available in khaki, available in black."
71,"Premium car cleaning kit with interior and exterior cleaning, foam cannon, wheel brush."
72,"Formal dress shirt with regular fit, available in white, non-iron fabric."
73,"Heavy-duty car floor mats with universal fit, all weather protection, available in black."
74,"Slim-fit jeans with available in waist sizes 30 to 40, stretch fabric, dark wash."
75,"Kettlebell set with available in grey, set includes 10, 20, 30 lb, full-body exercises."
76,"Short-sleeve button-up shirt with breathable, blue print, lightweight."
77,"Breathable athletic t-shirt with available in white, available in grey, sizes S to XL."
78,"Premium car cleaning kit with foam cannon, interior and exterior cleaning, wheel brush."
79,"Short-sleeve button-up shirt with blue print, tropical print, available in sizes M to XL."
80,"Advanced GPS navigation system with pre-loaded with US maps, 5-inch touchscreen, real-time traffic updates."
81,"Leather car seat covers with available in grey, universal fit, available in tan."
82,"Breathable athletic t-shirt with available in white, available in grey, moisture-wicking fabric."
83,"Short-sleeve button-up shirt with blue print, lightweight, breathable."
84,"Lightweight windbreaker jacket with available in grey, available in olive green, full zipper closure."
85,"Compact home treadmill with multiple workout programs, 10 mph top speed, foldable design."
86,"Resistance bands with handles with portable, strength training, varying resistance levels."
87,"Short-sleeve button-up shirt with breathable, available in sizes M to XL, tropical print."
88,"Formal dress shirt with available in light blue, available in white, non-iron fabric."
89,"Men’s chino pants with available in navy, waist sizes 32 to 42, available in khaki."
90,"Resistance bands with handles with strength training, set of 5, portable."
91,"Waterproof hiking jacket with available in black, available in red, windproof design."
92,"Short-sleeve button-up shirt with tropical print, available in sizes M to XL, blue print."
93,"Performance fleece hoodie with outdoor activities, available in blue, sizes S to XXL."
94,"Adjustable weight bench with supports flat positions, for home gym setup, supports incline."
95,"Yoga mat with available in purple, available in black, non-slip surface."
96,"Yoga mat with non-slip surface, available in purple, for home workouts."
97,"Portable tire inflator with fits all tire types, small and lightweight, built-in digital gauge."
98,"Portable tire inflator with inflates up to 150 PSI, fits all tire types, small and lightweight."
99,"Heavy-duty car floor mats with universal fit, all weather protection, available in black."
100,"Short-sleeve button-up shirt with available in sizes M to XL, blue print, breathable."
